Reviews,Rating
basta orijinal olup olmadigindan supheliydim orijinal test yaptim kulaga takilan silikon kismini cikarin orada cok kucuk beyaz renkle yazilmis bir id kodu bulunuyor sekilde orijinal olup olmadigini anlayabilirsiniz gozunuz kapali alabilirsiniz cok kaliteli guclu sesi var kafamda bere varken telefonla konustum sesim bugulu geliyormus biraz sorun degil zaten beni kimse aramiyor,1
oncelikle kulakligin baglantisiyla ilgili yapilmasi gereken bir yorum gordum baglantiyla ilgili yok saniye ba ikisine yok saniye isik gelene kadar ba falan filan fasafuso kutudan ciktigi zaman r isiksiz l beyaz yanip sonen isik seklinde olacak bluetooth icin baglanma anlamina gelir telefonunuzdan direkt baglanabilirsiniz simdi gelelim bizim malûm meseleye kulaklik kesinlikle cok guzel bass tiz yeterince uygun sesi fullerseniz cok sessiz bir ortamda yaninizdaki kisi duyabilir sarj konusundan bahsetmiyorum bile diyeceksiniz yildiz verdin kadar guzel konusup hemen aciklayayim insanlar kotu yorumlari okuyup aldiris edecekler benimki kotu yorumlar arasinda oldugu icin okuyacaksiniz kotu yorumlari dikkate almayin alacaginiz tek sey kulaklik olsun,0
selam canlar oncelikle ben bir alirken once cok satilanlara gore siraliyorum urunun ozelliginden cok yorumlara puan ortalamasina dikkat ediyorum urununde yorumlarini epey okudum ilk kablosuz kulaklik aldim kasimda siparis vermistim bugun aralik elime ulasti saniyorum efsana cuma muhabbeti nedeniyle gecikmeler oldu urune gelirsem gelir gelmez tek kulaklik denedim muzik kalitesi gercekten muazzam hatta dalginlikla son s actim kulagim patlayacak sandim aniden cikardim disariya dahi cok s veriyor orta derece sesle yaklasik saat muzik dinledim telefonun sarji fazla gitmedi cok begendi hatta bir arkadasim bugun kendine siparis verdi bunca zaman bosuna kablolu kulaklik kullanmisim bunu anladim hareket durumum rahatladi kulaga guzel oturuyor muzik kalitesi super gelelim konusmaya aksam is cikisi kalabalik sayilabilecek bir kafeye gittim deneme icin annemi aradim sesimi iyi alabildigini soyledi etraf kalabalik geliyor dedi dakika kadar konustuk sikinti anlasilamama olmadi kalabalik bir ortamda konusulabiliyor anlasiliyor ev ortaminda keyif halinde konusmalar yapilabilir ozetle iyiki almisim diyorum alacaklara tavsiye ediyorum umarim yorumum faydali olur birileri benim yorumlara guvenerek alip iyi almisim der saygilar arkadaslar,1
aydir kullaniyorum basarili cihaz odaklanmam gereken bir isim var s kalitesi guzel kullanisli sik kulagimda unutacak kadar rahat icinden boy boy genis dar kulaklik ucu cikiyor adet kendime adet kardesime adet kiz arkadasima adet zor zamanimda yanimda olan bir arkadasima aldim su ana kadar memnunuz toplu tasima kullanirken ideal soyle ortam sesinden etkilenmiyorum muzik keyfi olarak gayet basarili telefon gorusmesinde dis s yuksek kalabalik ornegin canli muzik olan bi mekanda konusurken karsi tarafa cok s gidebiliyor biraz sesinizi yukseltirseniz karsi taraf rahat duyuyor bunun denemesini yaptik spor yaparken ben bootcamp yapiyorum bol atraksiyonlu kulagimdan hic dusmedi masallah sarji kadar sure gidiyor bakmadim ancak beni uzmedi micro usbklasik samsung kutusunda sarj oluyorlar kutuya koyup kapagini kapatinca baglantisi kesiliyor sarj oluyor kutunun sarji bittiginde kapanmiyorlar bilginize kutusu miknatisli kulakliklari icine koyarken tak oturuyor memnunum fiyat su an cok iyi ben tl uzerinde iken adet almistim pisman degilim kulaklik eslestirmede internetten buldugum yontemi izledim basarili oldu httpsforummiuiturkiyenetkonuxiaomiairdotsbaglanti iki airdroplarinizi kutudan cikarin telefon baglantiyi kesin dugmesini saniye boyunca basili tutarak iki airdotsu kapatin kirmizi isik gorene kadar sonrasinda iki kulakligida ayni anda saniye boyunca basiyorsunuz ilk saniyede isiklar yanacaktir birakmayin ikinci saniye dolduktan sonra ikisin isiklarida yanip sonecek sonrasinda sol kulaklik isigi sonecek sadece sag kulakligin isigi yanacak sol kulaklik sagdaki eslesmis oluyor sonrasinda telefondan artik sadece sag kulakligi goreceksin sag kulakliga baglandiktan sonra ikisinden s gelmeye baslayacaktir iyi dinlemeler,1
arkadaslar orijinalmi bilemedim bana orijinal geldi internette izledigim videolara gore orijinal oldugunu gosteren kanitlar var eksik olan parcalari farkli olan yazilari s kalitesi tatmin etti birde pil omrune bakacagim artik ufak tefek suphelerim olsa bana kaliteli geldi tl vererek hepsiburada nin saticisindan almayi tercih ettim birde sagolsunlar orijinalligini gosteren bir not normalde icinden cikmayan bir sarj kablosu hediye olarak gondermisler adima yorum olarak donerseniz sevinirim simdiden tesekkurler iyi alisverisler,1
sapina kadar orjinal olduguna dair butun kanitlar ortada supheli almistim aldigima degdi butun testleri basari gecti s kalitesi mukemmel henuz deneme sansim oldu telefon gorusmesi yapmadim oyun oynamadim gecikme varmi yokmu bilmiyorum bikac muzik acip orjinalligini test ettim onemli olan replika olmamasiydi benim icin tek olumsuz tarafi son s actiginizda disariya s veriyor s seviyesinde kullanmiyacagim icin ben gormezden geldim hepsiburadaya tesekkurler gece siparis verdim sabah yola cikti kulaklik kutusu biraz deforme olmus ancak bantlari uzerindeydi icini actigimda butun jelatinler olmasi gerektigi duzgunlukteydikulakliklarin seri numaralari mevcut orjinalde oldugu grimsi bildirim isigi net beyaz kitapcigi kalin kutu altindaki yazilar hafif silik sertifikali fotograflari asagi birakiyorum incelemek isteyen bakabilir,1
valla butun videolara baktim orjinal gorunuyor gercekten kullanisli faydali bi alet kulakta oldugu gercekten unutuluyor dokunmatik yerine saglikli bir secim bence kulaktan dusurmek zor s doyurucu eger dogan sahin araba sehri rahatsiz etmek psikolojik bir sorununuz yoksa s cok yeterli gorusme sorunsuz gayet iyi s iyi gidiyor karsiya,1
dinleme konusunda iyi ben telefonla konusmaktan cok dinleme amaciyla satin aldigim icin benim isimi goruyor konusa konusunda sinifta kalir karsi taraf sizi cok iyi anlayamiyor ben arac kullanirken deneyimledim bilgisayardan usb kablosuyla sarj ediniz aksi takdirde bozulabilir kutu icerisinden usb kablosu cikmiyor bunu zaten bilerek almistim size tavsiyem ben sonradan fark ettim kulakligin bir ust modelini almaniz cunku tere suya dayanikli hemen hemen ayni fiyat bir hepsiburadadan almanizi tavsiye ederim diger saticilardan sahte cikma olasiligi olabilir satici yorumlarina bakabilirsiniz gule gule kullanalim benim isimi goruyor simdilik,1
guzel paketlenmis sekilde geldi tamamen orjinal kalin kitapcik yedek plastiklerin ustunde yaziyor yazinca replika oluyor kulakliktaki plastigi cikardikca seri numarasi var orjinal gonul rahatliyla alabilirsiniz,1
cihaz oncelikle fiyatina gore diger arkadaslarin soyledigi uzere oldukca kaliteli demek degil airpods bin lira aradaki fark zaman coktur kalitesizdir kesinlikle s konusunda cok basarili ben buradaki yorumlari okusaydim sadece riske girmezdim ancak bir arkadasim almisti onda test etme sansim oldugundan gozum kapali aldim cihazin telefon gorusmesi performansi iyi kotu ben dolmusta giderken test ettim karsi tarafin sesi guzel geliyor benim sesim karsiya sorunsuz gidiyor gurultulu bir ortamda sanirim biraz zorlasir tabi bir airpods degil muzik dinlemek icin gozunuz kapali alabilirsiniz benim puan kirdigim nokta sarj saat gidiyor biraz iyi olabilirdi bir kulakliga tek tik sarkiyi durdururken cift bir sonraki sarki degil siri yi aciyor,1
